Timestamp,Acce_x,Acce_y,Acce_z,Gyro_x,Gyro_y,Gyro_z,Label
2025-04-03 22:38:35.143531,3.08,8.94,-2.20,-0.03,0.02,0.02,BicepCurl
2025-04-03 22:38:35.176770,2.98,8.88,-2.15,-0.02,0.02,0.03,BicepCurl
2025-04-03 22:38:35.208034,3.04,8.84,-2.22,-0.01,-0.03,0.03,BicepCurl
2025-04-03 22:38:35.236910,3.04,8.81,-2.18,0.01,-0.03,0.05,BicepCurl
2025-04-03 22:38:35.266972,2.94,8.95,-2.23,-0.02,0.02,0.02,BicepCurl
2025-04-03 22:38:35.297531,3.02,8.97,-2.24,-0.04,0.04,0.00,BicepCurl
2025-04-03 22:38:35.329179,2.81,8.94,-2.03,-0.03,-0.07,0.02,BicepCurl
2025-04-03 22:38:35.359455,3.22,8.76,-2.34,-0.01,-0.01,0.01,BicepCurl
2025-04-03 22:38:35.390026,3.07,8.73,-2.22,-0.01,0.06,0.01,BicepCurl
2025-04-03 22:38:35.427779,2.81,8.84,-2.12,-0.01,-0.06,0.01,BicepCurl
2025-04-03 22:38:35.451526,2.93,8.83,-2.11,-0.03,-0.03,-0.01,BicepCurl
2025-04-03 22:38:35.485740,2.95,8.83,-2.26,-0.05,0.01,-0.04,BicepCurl
2025-04-03 22:38:35.528923,2.87,8.73,-2.29,-0.06,0.05,-0.05,BicepCurl
2025-04-03 22:38:35.543848,2.69,8.79,-1.96,-0.06,-0.07,-0.02,BicepCurl
2025-04-03 22:38:35.574432,2.91,8.85,-2.50,-0.04,-0.20,-0.01,BicepCurl
2025-04-03 22:38:35.605365,3.05,8.84,-2.60,-0.03,-0.09,-0.05,BicepCurl
2025-04-03 22:38:35.649722,3.17,8.90,-2.74,0.01,0.03,-0.04,BicepCurl
2025-04-03 22:38:35.667084,3.41,8.52,-3.22,0.12,0.07,0.01,BicepCurl
2025-04-03 22:38:35.699208,3.16,8.60,-3.10,0.39,-0.12,0.17,BicepCurl
2025-04-03 22:38:35.731477,3.90,8.78,-3.35,0.57,-0.28,0.26,BicepCurl
2025-04-03 22:38:35.759469,4.08,8.82,-3.65,0.55,-0.11,0.29,BicepCurl
2025-04-03 22:38:35.789914,3.74,8.66,-3.50,0.57,-0.21,0.37,BicepCurl
2025-04-03 22:38:35.825323,3.65,8.48,-3.56,0.68,-0.45,0.45,BicepCurl
2025-04-03 22:38:35.854340,4.01,8.49,-4.27,0.85,-0.49,0.50,BicepCurl
2025-04-03 22:38:35.883549,4.19,8.47,-4.53,1.04,-0.27,0.65,BicepCurl
2025-04-03 22:38:35.917681,4.19,8.35,-4.81,1.20,-0.35,0.73,BicepCurl
2025-04-03 22:38:35.944690,5.06,8.22,-6.13,1.46,-0.45,0.88,BicepCurl
2025-04-03 22:38:35.977161,5.39,8.28,-6.17,1.68,-0.06,0.99,BicepCurl
2025-04-03 22:38:36.006121,5.32,8.13,-6.70,1.91,-0.01,1.15,BicepCurl
2025-04-03 22:38:36.037320,6.05,7.75,-6.60,2.13,0.00,1.31,BicepCurl
2025-04-03 22:38:36.067965,5.85,7.70,-6.82,2.27,-0.09,1.41,BicepCurl
2025-04-03 22:38:36.106156,6.56,7.24,-8.16,2.49,-0.01,1.63,BicepCurl
2025-04-03 22:38:36.132279,5.60,6.47,-7.23,2.67,-0.11,1.67,BicepCurl
2025-04-03 22:38:36.165366,6.39,5.09,-8.75,2.81,-0.54,1.71,BicepCurl
2025-04-03 22:38:36.190998,6.49,4.73,-9.20,2.94,-0.08,1.75,BicepCurl
2025-04-03 22:38:36.235357,5.83,3.51,-7.62,2.96,0.07,1.70,BicepCurl
2025-04-03 22:38:36.264415,5.68,2.39,-8.08,3.00,0.12,1.75,BicepCurl
2025-04-03 22:38:36.285082,5.67,1.73,-8.57,2.96,0.27,1.70,BicepCurl
2025-04-03 22:38:36.316549,5.00,0.77,-7.12,2.89,0.13,1.77,BicepCurl
2025-04-03 22:38:36.359681,4.77,-0.74,-7.04,2.84,-0.14,1.63,BicepCurl
2025-04-03 22:38:36.375959,4.88,-1.16,-7.17,2.78,0.14,1.55,BicepCurl
2025-04-03 22:38:36.406328,4.68,-2.12,-6.11,2.70,0.18,1.46,BicepCurl
2025-04-03 22:38:36.443628,4.32,-3.25,-5.98,2.58,0.11,1.39,BicepCurl
2025-04-03 22:38:36.468242,4.26,-3.61,-6.67,2.41,0.33,1.31,BicepCurl
2025-04-03 22:38:36.499370,3.09,-4.95,-3.83,2.30,0.12,1.20,BicepCurl
2025-04-03 22:38:36.531471,3.21,-5.60,-4.46,2.17,0.06,1.07,BicepCurl
2025-04-03 22:38:36.564903,3.57,-6.00,-3.57,1.96,0.28,0.89,BicepCurl
2025-04-03 22:38:36.597546,2.71,-6.56,-1.90,1.67,0.35,0.79,BicepCurl
2025-04-03 22:38:36.622425,2.18,-7.15,-1.26,1.24,0.16,0.54,BicepCurl
2025-04-03 22:38:36.660223,2.13,-7.45,-0.74,0.81,0.28,0.36,BicepCurl
2025-04-03 22:38:36.685333,1.36,-7.60,-0.12,0.40,-0.02,0.10,BicepCurl
2025-04-03 22:38:36.714633,1.98,-7.84,-0.95,0.02,-0.09,-0.16,BicepCurl
2025-04-03 22:38:36.747880,2.36,-7.92,-0.78,-0.35,-0.07,-0.31,BicepCurl
2025-04-03 22:38:36.776200,2.49,-7.64,-1.42,-0.75,-0.07,-0.47,BicepCurl
2025-04-03 22:38:36.806818,2.74,-7.41,-1.58,-1.06,0.02,-0.61,BicepCurl
2025-04-03 22:38:36.838964,2.88,-7.11,-1.96,-1.34,0.00,-0.81,BicepCurl
2025-04-03 22:38:36.887751,3.01,-6.78,-2.38,-1.61,-0.04,-0.96,BicepCurl
2025-04-03 22:38:36.899620,2.92,-6.54,-2.16,-1.99,0.13,-1.16,BicepCurl
2025-04-03 22:38:36.938322,3.12,-5.32,-3.50,-2.21,-0.29,-1.34,BicepCurl
2025-04-03 22:38:36.961477,4.40,-4.66,-5.23,-2.32,-0.22,-1.43,BicepCurl
2025-04-03 22:38:36.992877,4.69,-4.03,-3.86,-2.50,0.27,-1.47,BicepCurl
2025-04-03 22:38:37.025156,4.36,-2.90,-7.03,-2.53,-0.12,-1.67,BicepCurl
2025-04-03 22:38:37.055614,5.52,-2.04,-7.22,-2.51,-0.05,-1.52,BicepCurl
2025-04-03 22:38:37.084529,4.93,-1.85,-5.63,-2.56,-0.44,-1.56,BicepCurl
2025-04-03 22:38:37.117290,7.30,0.05,-8.65,-2.56,-0.23,-1.52,BicepCurl
2025-04-03 22:38:37.146499,7.07,0.07,-8.15,-2.52,0.34,-1.43,BicepCurl
2025-04-03 22:38:37.180889,5.67,1.10,-6.85,-2.54,-0.06,-1.60,BicepCurl
2025-04-03 22:38:37.211642,7.12,2.24,-8.34,-2.52,0.22,-1.46,BicepCurl
2025-04-03 22:38:37.238769,5.54,2.68,-7.07,-2.44,-0.60,-1.45,BicepCurl
2025-04-03 22:38:37.269612,6.88,3.70,-7.83,-2.33,-0.79,-1.29,BicepCurl
2025-04-03 22:38:37.300482,6.20,4.49,-8.86,-2.35,0.46,-1.42,BicepCurl
2025-04-03 22:38:37.331003,5.14,5.10,-7.58,-2.02,-0.17,-1.38,BicepCurl
2025-04-03 22:38:37.361776,7.43,5.42,-7.77,-1.87,0.22,-1.48,BicepCurl
2025-04-03 22:38:37.396193,5.17,5.54,-6.80,-2.03,0.96,-1.42,BicepCurl
2025-04-03 22:38:37.423624,3.60,6.07,-5.22,-1.95,-0.09,-1.40,BicepCurl
2025-04-03 22:38:37.454717,5.67,6.86,-5.81,-1.95,-0.34,-1.40,BicepCurl
2025-04-03 22:38:37.487399,4.58,7.48,-4.99,-2.15,0.46,-1.36,BicepCurl
2025-04-03 22:38:37.518602,4.08,8.63,-4.10,-2.23,0.32,-1.45,BicepCurl
2025-04-03 22:38:37.546745,4.28,9.29,-4.38,-2.28,0.37,-1.48,BicepCurl
2025-04-03 22:38:37.585962,3.85,10.07,-4.12,-2.26,0.48,-1.40,BicepCurl
2025-04-03 22:38:37.623807,4.28,10.07,-4.34,-2.04,0.27,-1.22,BicepCurl
2025-04-03 22:38:37.640595,4.27,9.97,-4.19,-1.60,0.18,-1.08,BicepCurl
2025-04-03 22:38:37.669835,3.89,9.32,-3.70,-1.17,-0.09,-0.79,BicepCurl
2025-04-03 22:38:37.702899,4.08,9.01,-3.28,-0.85,-0.37,-0.62,BicepCurl
2025-04-03 22:38:37.731500,4.46,9.08,-2.99,-0.67,-0.13,-0.49,BicepCurl
2025-04-03 22:38:37.762332,4.53,8.77,-2.82,-0.52,0.38,-0.49,BicepCurl
2025-04-03 22:38:37.800000,3.27,9.05,-2.16,-0.40,0.51,-0.26,BicepCurl
2025-04-03 22:38:37.824765,2.99,9.05,-1.53,-0.31,0.06,-0.13,BicepCurl
2025-04-03 22:38:37.862142,3.09,9.23,-2.00,-0.21,-0.13,0.07,BicepCurl
2025-04-03 22:38:37.889815,3.22,9.25,-1.88,-0.10,-0.05,0.00,BicepCurl
2025-04-03 22:38:37.917036,2.36,9.31,-1.53,-0.04,-0.13,0.06,BicepCurl
2025-04-03 22:38:37.946796,2.72,9.17,-1.63,0.04,-0.18,0.09,BicepCurl
2025-04-03 22:38:37.977752,1.90,9.13,-1.29,0.01,-0.01,0.04,BicepCurl
2025-04-03 22:38:38.010240,1.70,9.18,-1.18,0.06,-0.30,0.06,BicepCurl
2025-04-03 22:38:38.039329,2.57,9.48,-1.78,0.05,0.01,0.09,BicepCurl
2025-04-03 22:38:38.070148,1.70,9.18,-1.19,0.07,-0.13,0.06,BicepCurl
2025-04-03 22:38:38.101457,2.04,9.27,-1.23,0.14,-0.31,0.12,BicepCurl
2025-04-03 22:38:38.131790,2.79,9.19,-1.60,0.16,-0.17,0.15,BicepCurl
2025-04-03 22:38:38.164126,2.81,9.19,-1.73,0.18,-0.01,0.14,BicepCurl
2025-04-03 22:38:38.198656,2.57,9.32,-1.43,0.19,-0.06,0.18,BicepCurl
2025-04-03 22:38:38.224015,2.98,9.25,-1.85,0.23,-0.20,0.26,BicepCurl
2025-04-03 22:38:38.255512,3.02,9.05,-2.33,0.32,-0.19,0.28,BicepCurl
2025-04-03 22:38:38.285754,3.21,8.98,-2.27,0.50,-0.39,0.31,BicepCurl
2025-04-03 22:38:38.317414,4.07,9.10,-2.95,0.53,0.05,0.31,BicepCurl
2025-04-03 22:38:38.347336,2.72,9.14,-2.62,0.56,-0.00,0.44,BicepCurl
2025-04-03 22:38:38.386067,3.35,8.71,-2.93,0.79,-0.81,0.61,BicepCurl
2025-04-03 22:38:38.409346,4.24,8.79,-3.74,0.93,-0.61,0.66,BicepCurl
2025-04-03 22:38:38.440547,4.48,8.72,-4.52,1.10,-0.31,0.75,BicepCurl
2025-04-03 22:38:38.472016,4.24,8.71,-4.17,1.27,-0.43,0.91,BicepCurl
2025-04-03 22:38:38.503110,4.59,8.78,-4.91,1.45,-0.54,0.90,BicepCurl
2025-04-03 22:38:38.533341,5.38,8.73,-5.66,1.72,-0.06,1.03,BicepCurl
2025-04-03 22:38:38.563454,5.13,8.52,-5.99,1.91,0.07,1.12,BicepCurl
2025-04-03 22:38:38.593841,5.51,8.52,-6.39,2.14,0.08,1.29,BicepCurl
2025-04-03 22:38:38.624877,5.73,8.30,-6.45,2.30,0.18,1.48,BicepCurl
2025-04-03 22:38:38.660708,5.37,7.52,-7.04,2.54,-0.21,1.62,BicepCurl
2025-04-03 22:38:38.687960,5.79,7.21,-7.63,2.71,-0.40,1.71,BicepCurl
2025-04-03 22:38:38.717201,6.19,6.21,-7.60,2.81,-0.34,1.76,BicepCurl
2025-04-03 22:38:38.750112,6.28,5.15,-8.65,2.89,-0.13,1.78,BicepCurl
2025-04-03 22:38:38.778865,5.74,4.60,-7.93,2.94,-0.13,1.78,BicepCurl
2025-04-03 22:38:38.810583,5.91,3.36,-7.65,2.99,-0.21,1.73,BicepCurl
2025-04-03 22:38:38.840398,6.30,2.13,-8.03,2.92,0.43,1.68,BicepCurl
2025-04-03 22:38:38.871216,4.02,0.96,-6.65,2.85,0.11,1.57,BicepCurl
2025-04-03 22:38:38.907602,5.02,0.62,-7.44,2.89,-0.52,1.53,BicepCurl
2025-04-03 22:38:38.934309,6.01,-0.60,-8.13,2.88,-0.11,1.45,BicepCurl
2025-04-03 22:38:38.965043,4.74,-1.73,-7.84,2.87,-0.16,1.39,BicepCurl
2025-04-03 22:38:39.002937,5.09,-2.36,-8.11,2.92,-0.24,1.42,BicepCurl
2025-04-03 22:38:39.025391,4.01,-3.65,-4.79,2.86,-0.26,1.38,BicepCurl
2025-04-03 22:38:39.056216,3.93,-4.39,-5.32,2.74,-0.03,1.18,BicepCurl
2025-04-03 22:38:39.091627,3.48,-4.87,-3.95,2.55,0.56,1.13,BicepCurl
2025-04-03 22:38:39.118684,1.81,-5.66,-0.57,1.93,0.57,0.79,BicepCurl
2025-04-03 22:38:39.148864,2.21,-6.48,-1.27,1.58,0.23,0.68,BicepCurl
2025-04-03 22:38:39.179672,2.40,-6.68,-0.96,1.09,0.29,0.71,BicepCurl
2025-04-03 22:38:39.214578,1.16,-7.12,-0.72,0.60,-0.08,0.41,BicepCurl
2025-04-03 22:38:39.242889,2.18,-7.29,-0.92,-0.04,-0.20,0.06,BicepCurl
2025-04-03 22:38:39.273476,1.87,-7.30,-1.28,-0.49,-0.24,-0.17,BicepCurl
2025-04-03 22:38:39.306758,1.93,-7.33,-1.57,-0.88,-0.28,-0.34,BicepCurl
2025-04-03 22:38:39.333500,2.09,-7.31,-1.06,-1.25,-0.01,-0.70,BicepCurl
2025-04-03 22:38:39.367621,1.96,-6.92,-1.60,-1.64,0.32,-1.10,BicepCurl
2025-04-03 22:38:39.397326,1.73,-5.83,-1.45,-2.16,-0.18,-1.36,BicepCurl
2025-04-03 22:38:39.426172,3.10,-4.62,-3.54,-2.51,-0.54,-1.58,BicepCurl
2025-04-03 22:38:39.456953,4.46,-4.02,-4.89,-2.82,-0.04,-1.68,BicepCurl
2025-04-03 22:38:39.487858,4.38,-2.83,-4.26,-2.96,0.14,-1.57,BicepCurl
2025-04-03 22:38:39.518817,4.41,-2.15,-4.99,-3.19,0.46,-1.64,BicepCurl
2025-04-03 22:38:39.549317,5.38,0.34,-7.74,-3.23,0.00,-1.86,BicepCurl
2025-04-03 22:38:39.580053,6.42,0.40,-6.86,-3.13,0.05,-1.41,BicepCurl
2025-04-03 22:38:39.613925,5.39,1.04,-7.82,-3.19,-0.05,-1.85,BicepCurl
2025-04-03 22:38:39.641761,6.15,4.14,-9.54,-2.88,-1.11,-1.39,BicepCurl
2025-04-03 22:38:39.672647,8.44,3.85,-9.52,-2.60,-0.70,-1.45,BicepCurl
2025-04-03 22:38:39.704119,7.46,2.45,-8.73,-2.82,1.45,-1.51,BicepCurl
2025-04-03 22:38:39.735855,1.52,4.48,-6.40,-2.62,0.05,-1.60,BicepCurl
2025-04-03 22:38:39.764673,4.58,6.23,-6.41,-2.43,-1.70,-1.25,BicepCurl
2025-04-03 22:38:39.795567,8.55,5.42,-8.03,-2.67,0.86,-0.88,BicepCurl
2025-04-03 22:38:39.826667,2.50,7.28,-6.10,-2.54,0.66,-1.75,BicepCurl
2025-04-03 22:38:39.857405,2.76,9.24,-6.01,-2.41,-0.99,-1.45,BicepCurl
2025-04-03 22:38:39.888602,6.18,8.16,-6.73,-2.32,-0.30,-1.42,BicepCurl
2025-04-03 22:38:39.920988,4.37,8.71,-7.22,-2.21,0.25,-1.53,BicepCurl
2025-04-03 22:38:39.950237,3.60,9.44,-6.03,-1.91,-0.34,-1.25,BicepCurl
2025-04-03 22:38:39.980703,4.92,8.56,-6.48,-1.53,-0.19,-1.19,BicepCurl
2025-04-03 22:38:40.011647,4.22,8.34,-5.24,-1.43,0.27,-1.13,BicepCurl
2025-04-03 22:38:40.047868,3.50,8.42,-4.35,-1.44,0.21,-1.11,BicepCurl
2025-04-03 22:38:40.073238,2.61,8.45,-3.47,-1.53,-0.09,-1.16,BicepCurl
2025-04-03 22:38:40.103906,2.75,9.54,-3.40,-1.68,-0.21,-0.90,BicepCurl
2025-04-03 22:38:40.137566,2.08,9.41,-2.70,-1.65,-0.37,-0.83,BicepCurl
2025-04-03 22:38:40.165628,2.65,10.05,-3.18,-1.52,-0.28,-0.87,BicepCurl
2025-04-03 22:38:40.196555,2.46,9.96,-2.71,-1.36,0.20,-0.81,BicepCurl
2025-04-03 22:38:40.229200,1.55,9.64,-1.82,-1.16,0.06,-0.85,BicepCurl
2025-04-03 22:38:40.258274,1.70,9.92,-1.88,-0.81,-0.41,-0.63,BicepCurl
2025-04-03 22:38:40.289259,1.18,9.60,-1.40,-0.60,-0.61,-0.40,BicepCurl
2025-04-03 22:38:40.328287,1.81,10.23,-1.39,-0.39,-0.88,-0.22,BicepCurl
2025-04-03 22:38:40.350783,2.13,10.86,-1.56,-0.26,-0.78,-0.03,BicepCurl
2025-04-03 22:38:40.381938,1.77,10.54,-0.79,-0.16,-0.74,0.09,BicepCurl
2025-04-03 22:38:40.412526,1.76,9.83,-0.98,-0.10,-0.80,0.10,BicepCurl
2025-04-03 22:38:40.448670,1.53,9.11,-0.54,-0.04,-0.88,0.00,BicepCurl
2025-04-03 22:38:40.473988,1.25,8.89,-0.51,-0.00,-0.82,0.17,BicepCurl
2025-04-03 22:38:40.506640,0.58,10.13,-0.83,-0.01,-0.76,0.26,BicepCurl
2025-04-03 22:38:40.535606,0.11,10.40,-0.78,-0.05,-0.99,0.20,BicepCurl
2025-04-03 22:38:40.566812,0.48,10.02,-1.15,-0.08,-1.11,0.26,BicepCurl
2025-04-03 22:38:40.597296,0.03,9.70,-1.11,-0.12,-1.18,0.33,BicepCurl
2025-04-03 22:38:40.628196,0.27,9.30,-1.03,-0.14,-1.53,0.36,BicepCurl
2025-04-03 22:38:40.664175,1.32,9.25,-1.74,-0.15,-1.48,0.35,BicepCurl
2025-04-03 22:38:40.696670,1.16,9.32,-1.61,-0.15,-1.18,0.40,BicepCurl
2025-04-03 22:38:40.720847,0.94,9.40,-1.69,-0.17,-1.15,0.45,BicepCurl
2025-04-03 22:38:40.755062,0.66,9.11,-1.17,-0.14,-1.48,0.40,BicepCurl
2025-04-03 22:38:40.782475,0.87,9.36,-1.44,-0.15,-1.43,0.43,BicepCurl
2025-04-03 22:38:40.813106,0.93,10.03,-1.34,-0.16,-1.58,0.52,BicepCurl
2025-04-03 22:38:40.844038,0.97,10.36,-1.30,-0.19,-1.59,0.52,BicepCurl
